NG,NEGERI,ANGGARAN_PENDUDUK(BPPD),CIT_NONCIT,
1,Johor,3488794,1,
2,Kedah,2150992,1,
3,Kelantan,1907110,1,
4,Melaka,913190,1,
5,Negeri Sembilan,1042630,1,
6,Pahang,1582958,1,
7,Pulau Pinang,1650251,1,
8,Perak,2393712,1,
9,Perlis,257699,1,
10,Selangor,6195650,1,
11,Terengganu,1244011,1,
12,Sabah,2940329,1,
13,Sarawak,2702903,1,
14,WP Kuala Lumpur,1555447,1,
15,WP Labuan,94399,1,
16,WP Putrajaya,83651,1,
1,Johor,288494,2,
2,Kedah,91339,2,
3,Kelantan,49237,2,
4,Melaka,44757,2,
5,Negeri Sembilan,79747,2,
6,Pahang,94388,2,
7,Pulau Pinang,145213,2,
8,Perak,93736,2,
9,Perlis,7915,2,
10,Selangor,668144,2,
11,Terengganu,27723,2,
12,Sabah,1178812,2,
13,Sarawak,198249,2,
14,WP Kuala Lumpur,214425,2,
15,WP Labuan,9500,2,
16,WP Putrajaya,2932,2,
,,,,
