NG,NEGERI,ANGGARAN_PENDUDUK(BPPD),CIT_NONCIT
1,Johor,3509011,1
2,Kedah,2164819,1
3,Kelantan,1925681,1
4,Melaka,919847,1
5,Negeri Sembilan,1045708,1
6,Pahang,1590220,1
7,Pulau Pinang,1658750,1
8,Perak,2396256,1
9,Perlis,259193,1
10,Selangor,6255992,1
11,Terengganu,1254634,1
12,Sabah,2968676,1
13,Sarawak,2718635,1
14,WP Kuala Lumpur,1556404,1
15,WP Labuan,95119,1
16,WP Putrajaya,84077,1
1,Johor,288950,2
2,Kedah,91591,2
3,Kelantan,49687,2
4,Melaka,44961,2
5,Negeri Sembilan,79933,2
6,Pahang,94466,2
7,Pulau Pinang,146059,2
8,Perak,93772,2
9,Perlis,7957,2
10,Selangor,674888,2
11,Terengganu,27915,2
12,Sabah,1185997,2
13,Sarawak,199842,2
14,WP Kuala Lumpur,216912,2
15,WP Labuan,9590,2
16,WP Putrajaya,2956,2
